candidate_id,candidate_name,canonical_product_family,company,region,product_surfaces,agentic_level,phase1_class,phase1_evidence_grade,phase1_key_rationale,phase3_selection_status,phase3_selection_position,phase3_market_adoption_score,phase3_capability_score,phase3_workflow_innovation_score,phase3_ecosystem_score,phase3_momentum_score,phase3_composite_score,phase3_research_judgment,phase3_selection_rationale,current_evidence_grade,current_confidence,as_of_date,source_refs,phase_refs,notes
CAND-041,Refact.ai,Refact.ai,Refact,Global,,,Watchlist,C,Current signal: agentic coding. Why watch: open-source / enterprise coding agent route with limited public market data,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S118;S120,P1,"Phase 1 4.3 #41. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-042,Greptile,Greptile,Greptile,Global,,,Watchlist,C,"Current signal: repo/code understanding plus review agent. Why watch: suitable as an observation target for the code-intelligence to agent route, but closer to review/repo analysis",Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S118,P1,"Phase 1 4.3 #42. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-043,Cubic,Cubic,Cubic,Global,,,Watchlist,C,Current signal: code review / debugging agent. Why watch: represents the vertical automated review/debugging agent route; whether it belongs in the main coding-agent universe is still a boundary question,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,S118,P1,"Phase 1 4.3 #43. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-044,Tabnine,Tabnine,Tabnine,Global,,,Watchlist,C,Current signal: IDE / coding AI. Why watch: longstanding developer AI vendor moving toward agentic workflow; standalone agent capability and market data need further verification,Not-in-final-top10,,,,,,,,Not assessed in Phase 3; no selection rationale recorded,Not assessed in Phase 3 - no selection rationale recorded in 03-top10-selection.md,C,Unknown,2026-08-31,,P1,"Phase 1 4.3 #44. No external source cited in Phase 1. Phase 1 4.3 records no product-surface or agentic-level field for Watchlist candidates. No Phase 2 4.1 market-matrix row, therefore no Phase 2 confidence value is recorded"
CAND-045,Pure Models (GPT / Claude / Gemini / Qwen / DeepSeek),Not applicable - model layer,Multiple (GPT / Claude / Gemini / Qwen / DeepSeek model vendors),,,,Excluded,,Excluded as pure models: they belong to the underlying model / model layer and are not agent products under the Charter Model-vs-Agent rule,Excluded,,,,,,,,Not a product candidate; excluded at Phase 1,Excluded at Phase 1 8 and not carried into the Phase 3 ranking population,,Unknown,2026-08-31,,P1,"Phase 1 8 row 1. No evidence grade is recorded in the Phase 1 8 exclusion table, so the grade fields are empty rather than Unknown (the Evidence Grade vocabulary is A-D only)"
CAND-046,Roo Code,Roo Code,Not recorded in Phase 1,,,,Excluded,,Excluded: stopped/closed as of mid-to-late 2026 and no longer suitable as a current market candidate. The evidence is a secondary ecosystem signal indicating shutdown in May 2026,Excluded,,,,,,,,Not a current market candidate; excluded at Phase 1,Excluded at Phase 1 8 and not carried into the Phase 3 ranking population,,Unknown,2026-08-31,S120,P1,Phase 1 8 row 2. Exclusion evidence is a community/secondary discovery signal with lower confidence than Core official product facts; Phase 1 explicitly states this is a low-confidence exclusion that must not be equated with permanent project closure
CAND-047,Sweep,Sweep,Not recorded in Phase 1,,,,Excluded,,Excluded: activity is clearly insufficient and 2026 release activity has been limited; not worth treating as a standalone core candidate at this stage,Excluded,,,,,,,,Not a current market candidate; excluded at Phase 1,Excluded at Phase 1 8 and not carried into the Phase 3 ranking population,,Unknown,2026-08-31,S120,P1,Phase 1 8 row 3. Low-confidence exclusion based on community/secondary ecosystem tracking; not equivalent to project closure
CAND-048,Gemini CLI,Google Antigravity,Google,Global,CLI,,Excluded,,Not counted separately to avoid duplication with the Google Antigravity CLI / agent ecosystem; whether it is fully retired needs final confirmation with official material in Phase 2,Excluded,,,,,,,,Merged into the Google Antigravity family; not separately counted,Phase 1 records the status as Excluded / Merge pending rather than a claim of formal retirement. Phase 2 13.1 and Phase 3 2.2 confirm the family merge into Google Antigravity,,Unknown,2026-08-31,S059;S062;S118,P1;P2;P3,"Phase 1 8 row 4. Merge-pending status, NOT a retirement claim"
CAND-049,Tongyi Lingma,Qoder,Alibaba Cloud / Qoder,Global + China,IDE,,Excluded,,Not counted separately; the current research treats Qoder / Qoder CN as one product family and the 2026 naming migration evidence is strong,Excluded,,,,,,,,Merged into the Qoder family; not separately counted,Excluded / Merged at Phase 1 8 and confirmed by Phase 2 13.3 and Phase 3 2.2. Phase 4 product-09 records the Qoder CN rename from Tongyi Lingma on 2026-05-20,,Unknown,2026-08-31,S082,P1;P2;P3,Phase 1 8 row 5
CAND-050,Plugin-only coding extensions,Not applicable - surface-only,Not recorded in Phase 1,,Plugin,,Excluded,,Excluded: does not satisfy the Product Surface scope because there is no independent CLI/IDE/Desktop/Cloud agent,Excluded,,,,,,,,Not a qualifying product surface; excluded at Phase 1,Excluded at Phase 1 8 under the Charter 2.4 explicit Plugin Rule and not carried into the Phase 3 ranking population,,Unknown,2026-08-31,,P1,"Phase 1 8 row 6. This is a class of objects, not a named product"
